"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0x3KglbEqLCYpvmrjOhpY6","Як воно?","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:6AKDf6yC8MtcDzwEZEK4qB","Велкам ту Юкрейн, панк","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2021-01-22","https://i.scdn.co/image/ab67616d0000b2730f3db6eacbad72e87236c46f","1","5","143727","https://p.scdn.co/mp3-preview/fa4b981a085638de07d09887ab64e3fdcf0ea0ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZFZ22173214","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-06T19:46:59Z"
"spotify:track:3MzbASHTkGH7s5GbJ3Ll8u","ТЕЦ","spotify:artist:3MtohoQqvZFtmRTwzp0xSH, spotify:artist:77DEfUq0imYRVEBvjDH1vL","dity inzheneriv, Andrii Barmalii","spotify:album:5oMlGFlxVekc9HY4AGxMeq","ТЕЦ","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2023-02-13","https://i.scdn.co/image/ab67616d0000b2736275fc0557d024101edc3e8f","1","1","195498","https://p.scdn.co/mp3-preview/18ffd1cf689cfdd0634aaa743620825984737b0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SE5BU2389397","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-06T20:42:01Z"
"spotify:track:2YdcW1FhvO00qvokty5mCD","Тренди","spotify:artist:3MtohoQqvZFtmRTwzp0xSH, spotify:artist:2MUGwis27QiudPF2SfL2yh, spotify:artist:2ZSCvBBi07pkUv7SK2nCrh, spotify:artist:2sdWfIbu9rLQ0p7MULuhxC","dity inzheneriv, Alice Change, Omana, хейтспіч","spotify:album:1YlMJEofHijPDxpqM1zr7L","Тренди","spotify:artist:3MtohoQqvZFtmRTwzp0xSH, spotify:artist:2MUGwis27QiudPF2SfL2yh","dity inzheneriv, Alice Change","2022-11-04","https://i.scdn.co/image/ab67616d0000b273c8b59b2cb288e979c8c9cce7","1","1","225000","https://p.scdn.co/mp3-preview/dc87a4366ebcd962a8e98ebacf883e09b1edb62c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","SE62M2239133","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-06T21:00:04Z"
"spotify:track:452XleMWAqVGZQLHGs8IBG","Зло","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:0j2SXG25vL8KmEuNgiXTVt","Зло","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2022-10-26","https://i.scdn.co/image/ab67616d0000b2733a45b93e47ad3693c4864454","1","1","191500","https://p.scdn.co/mp3-preview/b70c2764941e6df08c08745db1bc707912a1a4d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","SE62M2205936","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-06T21:17:01Z"
"spotify:track:7sfhWXiqGWOMXB9dHKVwfC","Вечорниці","spotify:artist:4IGHF22vbC33ColRBUHIXd","Tember Blanche","spotify:album:17f5sQshm3YSK3a3xRtWN5","Вечорниці","spotify:artist:4IGHF22vbC33ColRBUHIXd","Tember Blanche","2021-09-24","https://i.scdn.co/image/ab67616d0000b27314b0a44b4faef18af3133e83","1","1","238000","https://p.scdn.co/mp3-preview/46679183a8857b1e573a26021c3cff67c5e5ad82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","FRX762110209","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-11T12:21:36Z"
"spotify:track:6UVEcdRfAEIvUgiIumECEm","Не вистачає кисню","spotify:artist:2MUGwis27QiudPF2SfL2yh","Alice Change","spotify:album:3Ifrfx7uw7b7ZKI81sGiPR","Не вистачає кисню","spotify:artist:2MUGwis27QiudPF2SfL2yh","Alice Change","2022-04-05","https://i.scdn.co/image/ab67616d0000b273703053d05123700d0eae0642","1","1","142987","https://p.scdn.co/mp3-preview/4ff2b35f980fe068c7b7b812a774e44cd1b1f71a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","FR59R2250213","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-13T21:21:32Z"
"spotify:track:6lKGmg6Lc35LgIPi1BMG1P","Один в полі воїн","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","spotify:album:1KjDD4E3AnYLafDr8OZwTU","Один в полі воїн","spotify:artist:5fMNki1cAszN37EYRTVdOc","Odyn v Kanoe","2023-02-19","https://i.scdn.co/image/ab67616d0000b2731cfe9cbf9933e1ff0b34395e","1","1","234000","https://p.scdn.co/mp3-preview/02aa06db7fabb26a5b1e83317edae30b17c4c01a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","UASH52300001","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-13T21:27:24Z"
"spotify:track:7Gxe4Ewcp2hRe6XB1U8flo","Старі фотографії","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","spotify:album:29lPg2sUIBz5GvdadUqJSi","Танго","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","2005-01-01","https://i.scdn.co/image/ab67616d0000b273b5e6f29488cd8ef01f55a342","1","12","187622","","false","2","RUA1D2226403","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-13T22:13:39Z"
"spotify:track:3EPF75FrvrYL7mtVPsXypN","Брату","spotify:artist:70MEj6TnbVEjYdKgE8ZRGC","Схожа","spotify:album:1Ttd7lVeQyVKEp9BnnQ9E1","Брату","spotify:artist:70MEj6TnbVEjYdKgE8ZRGC","Схожа","2023-03-09","https://i.scdn.co/image/ab67616d0000b273536f67cfb8ce5f4f97721f95","1","1","147008","https://p.scdn.co/mp3-preview/437c376dba1db488bb93cdc953fe64202c070556?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","FR96X2352109","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-18T22:43:45Z"
"spotify:track:12okoS7ilts8wagS6cPCSQ","Маршрутка","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","spotify:album:0tucqgEOnJ0x17HYSsYHrf","The Best","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","2015","https://i.scdn.co/image/ab67616d0000b2731b6c28d4ea06d9241bd59cb9","1","7","182009","","false","0","RUA1D2224074","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-19T14:55:35Z"
